,channelID,channelTitle,channelDescription,channelCommentCount,hiddenSubscriberCount,subscriberCount,videoCount,channelViewCount,uploads
0,UC-WMwOzgFdvvGVLB1EZ-n-w,Sam Pilgrim,"Welcome to my channel, I'm a professional Freeride Mountain biker and former FMB world champion(2013). 

This channel is all about Mountain biking, I make a huge variety of videos for everyone who loves dirt: From downhill biking to slower paced trials riding and everything in between like dirt jumping, slopestyle and enduro!

As well as making entertain videos(I hope) I also like to help YOU out too, with videos such as:

- How to ride better
- Trick tips and How to's
- Travel VLOGS
- GoPro camera tips
- In-depth entertaining features
- POV craziness
- Funny videos

I also try to reply to everyone so leave some comments too!",0,0,719648,619,102445192,UU-WMwOzgFdvvGVLB1EZ-n-w
1,UC_A--fhX5gea0i4UtpD99Gg,Global Mountain Bike Network,"The Global Mountain Bike Network is the best MTB YouTube channel, with videos for everyone who loves dirt: from the full-faced helmet downhill mountain biker to the lycra-clad cross country rider along with everyone and anyone in between. 

With the help of our pro and ex pro riding team we’re here to inform, entertain and inspire you to become a better mountain biker, including videos on:

- How to ride faster with expert knowledge
- Fix everything with pro know-how
- Ride anything with world-cup winning skills
- Dial in your bike with bike set-up advice
- In-depth entertaining features
- Chat, opinion and interact with us on the Dirt Shed Show",0,0,1233134,1761,272617709,UU_A--fhX5gea0i4UtpD99Gg
2,UCXEuQ_O6BUWwhVhcMyXNHgg,Matt Jones,"An insight into my life as a professional mountain bike rider & Red Bull athlete. I ride MTB everyday, whether it's downhill, enduro mtb, dirt jumping or slopestyle. I compete around the world at Crankworx mtb competitions, so hopefully you enjoy my channel as I show you all the crazy stuff that happens throughout my year.",0,0,171240,209,18806064,UUXEuQ_O6BUWwhVhcMyXNHgg
3,UC2GIHZpQiJy-8286f4lj_cg,Pinkbike,"The world's largest mountain bike community. Featuring Trail, All-Mountain, Downhill, Cross Country, Enduro, Slopestyle and Freeride.",0,0,243759,658,46814700,UU2GIHZpQiJy-8286f4lj_cg
4,UCxZoC1sIG-vVtLsJDSbeYyw,Worldwide Cyclery,"Demystifying the confusing world of MTB's one video at a time. We eat, sleep and breathe bicycles and love to make videos about them.

Worldwide Cyclery is one unusual bike shop on a mission to build the best bike shop on the planet. We are a group of passionate and motivated riders who are all about having fun on bikes by any means necessary. We mostly live in the world of high-end mountain bikes but pretty much just love anything with two wheels. 

Our content provides riders with the most amount of information possible on everything from new product releases to bike and product reviews. We're here to provide relevant content that will inform and educate our fellow riders/bike enthusiasts so that they can upgrade and shred their bikes with a smile. 

To learn more about our shop check out - https://www.worldwidecyclery.com/pages/about-us

Shop online at WorldwideCyclery.com or...

Visit a shop in Newbury Park CA or Lancaster PA. Come ride bikes! Or drink a beer, or a fruit juice...",0,0,55940,205,8569057,UUxZoC1sIG-vVtLsJDSbeYyw
5,UCTs59UCfP4YLUt6pDR_uLtg,IFHT Films,"IFHT Films is a production company celebrating 10 years on youtube this year. IFHT is known for its mountain biking content, ""How to be"" series, music videos and unique comedy sketches. Join us as we document our passion for filmmaking, the outdoors, extreme sports, and the undeniable comedy in everyday life.

Send something:

IFHT Films
PO BOX 
27362 RPO GARDEN CITY, RICHMOND BC, CANADA V6Y 0E9",0,0,601486,78,120684787,UUTs59UCfP4YLUt6pDR_uLtg
6,UCu8YylsPiu9XfaQC74Hr_Gw,Seth's Bike Hacks,"These mountain biking videos are for everyone—from advanced riders to those who have never ridden a mountain bike before. Here, you'll find tutorials, documentaries, and reviews on everything from bike parts to camera gear.

Here you'll find
• MTB techniques tutorials
• Repairs and parts
• Product reviews
• How to film epic videos
• Humor and fun
• Tours of mountain bike parks
• Beyond mountain biking, with BMX, road biking, and other cycling videos",0,0,1532770,346,325335758,UUu8YylsPiu9XfaQC74Hr_Gw
7,UCfjzrJwlvxumk0oMWNx7fXQ,Gee Milner,"Home of 'DREAM BUILD' - featuring the BEST bike builds in the being watched by a huge worldwide audience! From Mountain bikes to Road bikes and everything in-between alongside a mix of riding videos and automotive films!

I'm a 25 year old filmmaker based in the UK focussing on cycling and automotive.

https://www.instagram.com/geemilner/",0,0,306263,76,39914044,UUfjzrJwlvxumk0oMWNx7fXQ
8,UCYdehtzJHg-P5w0AeGfVC-g,Awesome MTB,"We are Mo and Hannah Awesome and we live and breath bikes! We live in a Sprinter van full time which we converted ourselves, while traveling and riding some of the best trails all over the world! We also love creating content for people to enjoy! Whether we are in the mountains riding some awesome trails or at the beach surfing and enjoying the sunset, you can bet that we are outside enjoying life!

We also run a mountain bike coaching company and tour service, https://www.Awesomemtb.com! 

Happy trails!",0,0,22639,161,3023269,UUYdehtzJHg-P5w0AeGfVC-g
9,UC3DFdy_qc-cqgKCyQTHLGzA,BKXC,"My mission is to mountain bike the best trails in the world and bring you along with me. Mountain biking is the best way to get fit, make friends, see the world and to get that perfect adrenaline rush.

This channel is my obsession and full-time job. I'm building something special here, I hope you come along for the ride!",0,0,298587,545,41706567,UU3DFdy_qc-cqgKCyQTHLGzA
10,UCxwhnYiocArg7UCFFmnhQ7Q,The Loam Ranger,"Riding the best trails in the world and creating rad mountain bike videos covering the latest gear, trail centers and events. Subscribe for a new video every Tuesday and Thursday!",0,0,180964,159,17237575,UUxwhnYiocArg7UCFFmnhQ7Q
